"Feature","Gain","Cover","Frequency","pos","explicacion_final"
"iter_5_var_25",0.000474881660629643,0.00067987488198562,0.00104481077315997,399,"((((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo))_x_((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_x_((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))"
"canarito42",0.000472411105823624,0.0008747509225032,0.0012769909449733,400,NA
"canarito201",0.000472245749555976,0.00126101417416848,0.00139308103087996,401,NA
"iter_5_var_773",0.000467621063602767,0.000719850335750846,0.000696540515439981,402,"((((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((ctrx_quarter_+_mpayroll)_x_(mcaja_ahorro_+_mprestamos_personales))_+_(ctrx_quarter_x_mrentabilidad_annual)))_+_((ccomisiones_mantenimiento_tend6_/_mcaja_ahorro_lag1)_/_(mprestamos_personales_+_mtarjeta_visa_consumo))"
"iter_5_var_122",0.000467181747067148,0.000301654842857797,0.00104481077315997,403,"((((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))_x_((((mpayroll_+_mtarjeta_visa_consumo)_x_(mcaja_ahorro_+_mprestamos_personales))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))_+_(((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(cproductos)))"
"iter_4_var_528",0.000466573174709946,0.00025239875924166,0.000928720687253309,404,"(((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(ctarjeta_visa_transacciones_+_ctrx_quarter_tend6))_/_((Master_status)_+_(tcallcenter_tend6))"
"iter_5_var_206",0.000465599000195277,0.000898932119170299,0.000928720687253309,405,"((ccomisiones_mantenimiento_tend6_/_mcaja_ahorro_lag1)_/_(mprestamos_personales_+_mtarjeta_visa_consumo))_x_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_(cproductos_tend6_/_ccomisiones_mantenimiento_tend6))"
"iter_4_var_320",0.0004655060774304,0.00437253438155412,0.000928720687253309,406,"(((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(cproductos))_/_(((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen)))"
"iter_5_var_531",0.000463876642650908,0.000196560302972005,0.000696540515439981,407,"(((mpayroll_+_mtarjeta_visa_consumo)_+_(mcaja_ahorro_+_mprestamos_personales))_+_((mtarjeta_visa_consumo_+_mpasivos_margen)_+_(mtarjeta_master_consumo)))_/_((((mcaja_ahorro_+_mprestamos_personales)_+_(mtarjeta_visa_consumo_+_mpasivos_margen_lag1))_x_((ctrx_quarter_+_mpayroll)_+_(mtarjeta_master_consumo)))_+_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_((ctrx_quarter_+_mpayroll)_x_(mtarjeta_visa_consumo_+_mpasivos_margen))))"
"iter_5_var_349",0.00046321505865689,8.24429285089365e-05,0.000464360343626654,408,"((((mcaja_ahorro_+_mprestamos_personales)_x_(mpayroll_+_Visa_mpagominimo))_x_(cproductos))_+_(((mprestamos_personales_+_mcuentas_saldo)_+_(mpayroll_x_ctarjeta_visa_transacciones))_x_((mcuenta_debitos_automaticos)_+_(mpayroll_+_Visa_mpagominimo))))_/_(((mpayroll_+_mtarjeta_visa_consumo)_+_(mprestamos_personales_+_mcuentas_saldo))_+_(cproductos_tend6_/_ccomisiones_mantenimiento_tend6))"
